"","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01","2020-02","2020-03","2020-04","2020-05","2020-06","2020-07","2020-08","2020-09","2020-10","2020-11","2020-12","2021-01","2021-02","2021-03","2021-04","2021-05","2021-06","2021-07","2021-08","2021-09","2021-10","2021-11","2021-12","2022-01","2022-02","2022-03","2022-04","2022-05","2022-06","2022-07","2022-08","2022-09","2022-10","2022-11","2022-12","2023-01","2023-02","2023-03","2023-04","2023-05","2023-06","2023-07","2023-08","2023-09"
"Australia",85,86,87,86,86,86,86,86,87,88,100,101,101,101,100,103,108,108,107,108,106,106,152,157,158,160,161,161,169,172,172,171,170,171,226,226,225,226,228,229,246,246,248,247,248,249,395,395,395,396,398,399,401,402,402,403,403,404,423,425,425,425,425,425,426,424,424,425,424,423,445,443,443,443,442,442,443,445,445,445,445,445,480,479,481,482,485,485,494,495,496,498,498,499,555,557,557,558,560,562,570,571,571,571,571,571,623,624,626,628,628,628,634,637,637,637,639,640,726,726,724,723,724,725,737,736,737,743,743,744,817,816,817,816,817,818,821,823,824,822,822,822,826,826,826,826,827,828,833,832,833,832,831,832,859,861,862,864,864,865,868,869,872,873,873,872,919,919,921,922,923,924,931,934,934,935,937,939,971,972,974,972,974,974,980,982,981,982,982,985,1015,1014,1014,1014,1016,1015,1018,1019,1020,1020,1019,1020,1025,1024,1023,1022,1024,1022,1025,1025,1025,1026,1027,1028,1067,1068,1068,1069,1070,1072,1077,1076,1075,1076,1077,1077,1105,1105,1104,1106,1105,1103,1110,1111,1111,1114,1113,1113,1157,1154,1154,1154,1155,1155,1165,1167,1166,1164,1164,1166,1218,1219,1219,1216,1216,1217,1228,1229,1230,1234,1234,1233,1262,1263,1265,1263,1268,1270,1279,1280,1278,1279,1283,1283,1308,1310,1309,1311,1310,1309,1320,1319,1319,1320,1319,1319,1351,1353,1355,1354,1352,1352,1358,1356,1355,1351,1353,1354,1360,1360,1362,1367,1368,1369,1372,1374,1372,1371,1373,1373,1369,1368,1370,1370,1370,1371,1366,1366,1365,1365,1365,1367,872,872,872
"Austria",36,36,36,36,38,38,38,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,44,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,43,43,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,43,43,43,42,42,42,42,42,42,42,44,44,44,43,44,44,45,45,45,45,45,45,48,48,48,48,50,50,50,51,51,51,51,51,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,55,55,55,55,55,55,55,55,55,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,63,63,63,63,63,63,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,62,62,62,62,62,62
"Belgium",41,41,41,41,46,46,46,47,47,47,47,47,47,47,47,47,55,55,55,56,56,57,57,57,57,58,58,58,66,66,66,66,66,66,67,67,67,67,68,68,70,71,71,71,71,71,71,71,71,70,70,70,70,70,70,70,70,70,71,71,71,71,70,71,70,71,71,71,71,71,71,71,71,71,71,71,73,73,73,73,73,73,73,73,73,73,73,73,76,76,76,76,76,76,75,75,75,75,75,75,78,78,78,78,78,78,78,78,78,78,78,78,81,81,81,81,81,81,82,82,82,83,83,83,88,88,88,88,89,89,90,90,90,90,90,91,91,91,91,92,92,92,92,92,92,92,92,92,90,90,90,90,91,91,91,91,92,92,92,92,92,92,91,90,91,91,91,91,90,90,89,91,90,90,89,89,89,89,89,89,89,89,90,90,91,91,91,91,91,91,91,91,91,91,91,91,94,94,94,94,94,94,95,94,94,94,94,94,97,97,97,97,97,97,96,96,96,97,97,97,102,102,102,102,102,102,103,103,103,104,104,104,107,107,107,107,107,107,107,107,108,108,108,108,109,108,108,109,110,110,110,110,110,109,108,108,110,110,110,110,110,111,111,111,111,111,111,111,112,112,112,112,112,112,112,112,112,112,112,112,116,116,116,116,115,116,117,117,117,117,117,117,118,118,119,119,119,119,119,119,119,118,119,119,118,119,119,119,119,119,119,119,119,119,119,118,118,118,118,118,118,118,117,118,118
"Brazil",31,31,31,31,33,34,33,34,34,34,34,34,34,35,35,35,40,40,40,40,40,40,40,40,40,40,40,40,63,63,63,63,63,62,62,63,63,63,63,63,68,68,68,68,67,67,67,67,67,67,67,67,70,70,70,70,70,70,70,70,70,70,70,70,72,72,72,72,72,72,72,72,72,72,72,72,71,71,71,71,71,71,71,71,71,71,71,71,78,78,78,78,79,80,80,80,80,80,80,80,82,82,83,83,83,83,83,83,83,83,83,83,94,95,96,97,98,98,99,100,100,100,101,101,134,135,135,136,137,136,137,137,139,141,141,141,147,147,147,147,146,146,148,149,149,149,149,148,151,151,151,151,151,150,150,150,152,152,153,153,159,159,159,159,159,160,160,161,161,161,161,161,169,170,170,170,170,171,172,172,172,173,173,173,172,172,172,172,172,172,172,172,172,172,172,172,179,179,179,178,178,179,178,178,177,178,178,178,177,178,178,178,179,179,179,179,178,178,177,178,181,181,181,181,181,181,180,181,181,181,181,181,184,182,183,184,184,184,184,184,184,182,182,181,187,187,187,188,188,188,189,189,190,190,190,190,193,193,191,191,191,191,191,190,190,191,192,192,196,196,196,196,196,196,196,196,196,196,196,196,220,220,221,221,221,219,221,221,221,222,224,224,224,226,227,227,228,228,227,226,226,226,225,225,226,226,226,226,225,225,225,225,226,226,226,226,225,225,225,225,225,225,224,224,224
"Canada",117,120,121,121,122,125,128,132,139,142,143,147,152,154,156,156,176,179,178,189,194,194,199,198,199,201,203,205,222,223,222,227,226,225,226,226,226,227,229,234,247,247,247,247,249,252,256,256,256,256,257,256,276,276,276,277,278,278,278,279,283,285,285,286,310,310,311,311,312,315,316,317,318,319,320,321,351,352,352,353,353,354,356,357,358,359,359,362,386,395,412,442,452,467,494,507,522,553,575,594,796,797,800,805,807,808,814,818,817,818,824,824,865,862,865,873,880,884,894,902,908,918,925,929,985,989,994,1004,1009,1018,1030,1037,1044,1056,1064,1074,1109,1110,1112,1118,1123,1128,1130,1134,1137,1143,1145,1146,1169,1173,1178,1184,1187,1194,1196,1201,1200,1206,1206,1206,1241,1251,1257,1263,1270,1281,1290,1294,1297,1307,1314,1319,1360,1363,1367,1382,1389,1396,1402,1409,1416,1425,1429,1439,1485,1487,1487,1493,1496,1497,1501,1504,1507,1510,1514,1516,1544,1547,1550,1556,1560,1561,1566,1567,1568,1571,1573,1575,1620,1623,1627,1626,1627,1627,1626,1630,1630,1634,1640,1638,1671,1676,1679,1678,1682,1682,1686,1686,1689,1693,1697,1698,1711,1713,1714,1719,1716,1714,1724,1730,1732,1735,1736,1738,1780,1776,1778,1785,1795,1800,1806,1809,1811,1811,1817,1828,1879,1881,1884,1892,1892,1899,1903,1912,1917,1924,1931,1939,1976,1975,1973,1970,1975,1980,1982,1988,1991,2000,2004,2006,2046,2052,2054,2057,2057,2061,2067,2065,2066,2069,2069,2071,2096,2094,2098,2108,2116,2117,2127,2133,2139,2140,2137,2137,2133,2136,2137,2136,2139,2138,2131,2127,2124,2118,2115,2113,2080,2083,2079,2064,2053,2000,1904,1849,1796
"Chile",66,66,66,66,68,68,66,67,67,67,68,68,68,68,68,67,76,77,78,78,77,77,76,77,77,76,76,76,95,95,95,95,95,95,95,95,95,95,95,95,97,97,96,97,97,95,95,95,94,94,94,94,94,93,93,93,91,91,91,92,92,92,92,92,100,100,100,100,100,100,100,100,100,100,99,99,103,103,103,103,103,104,104,105,104,104,104,104,104,103,103,105,104,104,104,104,103,103,103,104,109,110,110,109,109,109,109,109,108,108,109,109,112,114,113,114,114,112,112,113,113,113,113,113,117,117,117,116,116,116,116,116,116,116,116,118,119,119,119,118,118,118,118,118,118,117,117,118,124,124,123,124,124,124,123,122,123,123,123,123,122,122,123,123,122,123,124,125,126,127,127,127,132,133,133,133,133,132,132,133,133,133,132,130,141,141,141,141,141,141,141,139,139,140,140,140,141,141,141,141,141,141,141,141,141,141,141,141,143,143,143,143,143,143,143,143,143,143,143,143,145,145,145,145,145,145,145,145,145,145,145,145,146,146,146,146,146,146,146,146,146,146,146,146,145,145,145,145,145,145,145,145,145,145,145,145,149,149,149,149,150,150,150,150,150,151,151,151,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,154,154,142,142,142,142,143,143,143,143,143,142,142,142,145,145,145,145,145,145,145,144,144,144,145,145,141,141,141,141,139,139,139,139,140
"China",70,70,70,70,77,77,77,77,77,77,77,77,77,77,77,77,84,84,84,84,84,84,84,84,84,84,84,84,169,169,169,169,169,169,169,169,169,169,169,169,189,189,189,189,189,189,189,189,189,189,189,189,198,198,198,198,198,198,198,198,201,201,201,201,866,866,866,866,866,866,865,865,865,865,865,865,921,921,922,922,922,924,924,928,930,931,930,932,1012,1012,1012,1012,1013,1014,1014,1015,1016,1016,1018,1032,1046,1055,1056,1053,1053,1056,1055,1054,1053,1057,1053,1056,1103,1104,1104,1106,1107,1114,1116,1119,1121,1121,1124,1127,1207,1212,1220,1224,1231,1226,1218,1215,1226,1241,1244,1248,1292,1283,1287,1287,1289,1292,1292,1292,1297,1300,1300,1298,1370,1369,1368,1374,1376,1382,1394,1393,1394,1391,1391,1398,1627,1640,1652,1655,1654,1662,1664,1671,1685,1701,1699,1705,1909,1909,1916,1920,1922,1931,1937,1940,1944,1941,1932,1933,2041,2043,2036,2039,2051,2055,2054,2047,2047,2050,2042,2040,2042,2045,2036,2031,2028,2031,2035,2031,2033,2040,2030,2028,2125,2127,2123,2128,2154,2155,2157,2154,2167,2169,2150,2156,2325,2334,2353,2356,2366,2366,2375,2378,2379,2365,2358,2361,2538,2543,2546,2541,2554,2564,2570,2571,2584,2591,2585,2583,2916,2921,2917,2902,2908,2905,2900,2902,2908,2909,2900,2895,2978,2983,2976,2955,2944,2929,2931,2929,2925,2930,2926,2920,3062,3059,3059,3049,3058,3051,3054,3061,3066,3071,3068,3056,3334,3337,3337,3336,3343,3344,3350,3352,3361,3370,3370,3364,3356,3360,3366,3358,3357,3358,3359,3352,3351,3366,3365,3362,3361,3362,3363,3350,3366,3372,3380,3382,3383,3393,3389,3387,3386,3389,3391,3378,3385,3392,3393,3397,3395
"France",211,212,211,210,227,227,228,230,232,233,234,234,235,239,240,239,261,261,262,266,265,266,267,267,268,270,270,271,288,290,290,295,295,294,294,294,294,295,295,296,323,324,324,324,324,326,326,326,325,324,324,324,331,331,331,332,332,332,333,333,335,334,334,334,337,337,337,339,339,339,338,338,338,338,338,338,343,343,343,344,345,345,346,346,345,345,345,345,350,349,349,349,349,349,351,354,355,355,355,355,367,368,368,370,371,370,373,375,376,378,378,379,409,407,407,408,410,409,412,413,417,420,422,422,442,443,443,444,443,443,446,444,447,447,447,448,455,455,454,455,455,454,456,457,456,453,453,453,453,451,450,451,449,448,448,448,447,447,445,445,455,455,458,458,458,458,463,464,465,465,465,465,474,473,473,472,472,471,473,472,471,471,471,471,479,477,477,479,480,481,480,481,481,484,485,485,498,497,496,494,494,495,496,497,499,500,499,499,517,516,516,518,519,520,521,522,524,524,525,526,543,543,542,543,544,544,547,547,549,550,550,549,564,566,566,567,567,567,568,569,568,569,570,571,581,580,580,580,579,579,579,578,579,580,580,580,587,586,586,585,586,586,587,589,588,587,587,587,593,593,592,593,594,594,594,593,593,592,592,592,594,595,597,595,595,596,594,594,593,597,600,599,599,599,598,598,598,598,598,598,599,599,599,600,598,598,597,597,597,596,595,594,593,594,595,596,588,587,587,583,583,583,578,579,577
"Germany",142,143,143,143,155,155,156,157,158,157,159,160,159,162,162,163,193,193,193,191,191,192,193,194,197,196,200,200,242,243,242,243,244,244,245,251,250,255,255,256,296,300,300,301,293,298,302,304,306,310,310,311,326,325,326,327,324,324,324,324,324,324,325,325,325,323,324,324,324,324,324,323,323,320,319,319,319,318,318,318,318,317,318,313,312,314,315,317,321,320,320,320,320,321,321,321,321,322,323,324,340,340,341,340,340,337,341,341,342,343,343,347,383,384,383,383,383,383,390,391,392,393,393,395,424,424,427,425,428,427,428,428,430,431,430,433,442,440,445,445,444,445,445,444,445,448,449,449,453,453,455,455,455,456,460,459,459,458,451,457,463,459,460,460,463,465,465,468,469,469,469,464,467,467,466,466,467,466,461,462,463,465,466,464,467,466,464,463,465,466,467,465,465,464,463,465,470,469,471,474,474,475,475,476,476,476,477,476,481,480,478,480,480,480,482,484,485,485,486,486,505,504,504,503,502,503,503,503,504,509,509,508,516,515,514,513,512,513,514,517,516,519,518,518,531,531,529,533,533,533,534,536,536,536,536,537,557,558,559,560,557,560,562,563,562,564,566,567,573,570,572,573,572,573,576,576,577,578,579,579,587,584,584,583,583,584,585,585,586,585,586,589,590,591,592,592,591,594,596,596,595,595,595,593,590,589,589,590,589,592,592,593,596,596,596,591,577,577,578,577,578,577,574,573,575
"Hongkong",292,295,295,297,307,308,306,322,321,321,322,321,323,321,320,320,327,326,328,334,334,333,332,333,334,334,336,333,335,334,334,357,357,355,359,359,361,363,364,362,433,432,432,491,496,497,520,522,521,524,526,528,551,548,550,564,567,567,569,571,570,576,575,575,597,596,596,614,613,615,619,620,622,620,620,620,637,637,637,645,646,646,650,650,650,652,652,654,670,668,668,673,672,673,673,672,675,676,677,677,704,703,703,711,712,709,709,710,713,713,714,714,738,737,739,741,738,738,740,741,743,745,744,746,792,792,794,799,799,798,802,804,808,810,810,811,828,828,827,830,826,821,822,824,825,825,822,823,856,856,856,857,861,868,875,879,877,877,878,880,924,925,925,936,940,934,936,939,939,941,940,943,969,969,969,976,976,974,977,979,982,985,986,985,1003,1003,1004,1014,1014,1014,1014,1016,1015,1014,1015,1015,1066,1067,1066,1081,1081,1083,1083,1084,1084,1082,1081,1082,1136,1135,1136,1148,1147,1146,1152,1150,1152,1152,1151,1154,1196,1198,1197,1215,1216,1216,1219,1218,1220,1222,1222,1222,1272,1272,1269,1307,1305,1308,1312,1312,1312,1312,1312,1311,1378,1378,1380,1403,1403,1403,1405,1406,1406,1407,1409,1412,1504,1502,1504,1529,1527,1526,1530,1530,1528,1531,1531,1531,1615,1615,1616,1621,1622,1622,1629,1630,1630,1629,1630,1630,1711,1711,1710,1711,1712,1713,1716,1718,1719,1720,1721,1722,1726,1728,1726,1728,1729,1728,1728,1727,1728,1729,1729,1729,1724,1724,1724,1721,1724,1723,1723,1721,1721,1720,1717,1718,1688,1685,1683,1675,1674,1670,1606,1599,1597
